Date,Soil Moisture 10,Soil Moisture 20,Soil Moisture 30,date_tollebeek,precipitation
2021-07-04 08:08:52,30.8,34.7,32.3,2021-06-25 20:15,0
2021-07-04 07:08:52,30.8,34.7,32.4,2021-06-25 20:31,0
2021-07-04 06:08:52,30.8,34.7,32.4,2021-06-25 20:46,0
2021-07-04 05:08:52,30.8,34.7,32.4,2021-06-25 21:01,0.2
2021-07-04 04:08:52,30.9,34.8,32.4,2021-06-25 21:16,0.2
2021-07-04 03:08:52,30.9,34.7,32.4,2021-06-25 21:31,0.2
2021-07-04 02:08:52,30.8,34.7,32.5,2021-06-25 21:46,0.2
2021-07-04 01:08:52,30.8,34.8,32.5,2021-06-25 22:01,0
2021-07-04 00:08:52,30.8,34.8,32.5,2021-06-25 22:16,0
2021-07-05 23:08:52,32.9,36.3,33.6,2021-06-25 22:31,0
2021-07-05 22:08:52,32.9,36.3,33.6,2021-06-25 22:46,0
2021-07-05 21:08:52,32.9,36.3,33.7,2021-06-25 23:01,0
2021-07-05 19:08:52,32.9,36.4,33.7,2021-06-25 23:16,0
2021-07-05 18:08:52,32.9,36.4,33.7,2021-06-25 23:31,0
2021-07-05 17:08:52,32.9,36.5,33.7,2021-06-25 23:46,0
2021-07-05 16:08:52,32.9,36.5,33.7,2021-06-26 00:01,0
2021-07-05 15:08:52,33,36.6,33.8,2021-06-26 00:16,0
2021-07-05 14:08:52,33.2,36.8,33.8,2021-06-26 00:31,0
2021-07-05 13:08:52,32.6,36.1,33.6,2021-06-26 00:46,0
2021-07-05 11:08:52,32.7,36,33.5,2021-06-26 01:01,0
2021-07-05 10:08:52,32.6,36.1,33.5,2021-06-26 01:16,0
2021-07-05 09:08:52,32.7,36.1,33.7,2021-06-26 01:31,0
2021-07-05 08:08:52,32.7,36.3,33.7,2021-06-26 01:46,0
2021-07-05 07:08:52,32.9,36.4,33.8,2021-06-26 02:02,0
2021-07-05 06:08:52,33.1,36.7,33.9,2021-06-26 02:17,0
2021-07-05 05:08:52,32.6,36.2,33.7,2021-06-26 02:32,0
2021-07-05 04:08:52,32.5,36.2,33.7,2021-06-26 02:47,0
2021-07-05 03:08:52,32.5,36.2,33.7,2021-06-26 03:02,0
2021-07-05 02:08:52,32.5,36.2,33.7,2021-06-26 03:17,0
2021-07-05 01:08:52,32.6,36.3,33.8,2021-06-26 03:32,0
2021-07-05 00:08:52,32.6,36.3,33.7,2021-06-26 03:47,0
2021-07-06 23:08:52,32.3,35.1,32.6,2021-06-26 04:02,0
2021-07-06 22:08:52,32.2,35.2,32.6,2021-06-26 04:17,0
2021-07-06 21:08:52,32.3,35.2,32.7,2021-06-26 04:32,0
2021-07-06 19:08:52,32.3,35.3,32.7,2021-06-26 04:47,0
2021-07-06 18:08:52,32.4,35.3,32.7,2021-06-26 05:02,0
2021-07-06 17:08:52,32.4,35.3,32.7,2021-06-26 05:17,0
2021-07-06 16:08:52,32.4,35.3,32.7,2021-06-26 05:32,0
2021-07-06 15:08:52,32.3,35.4,32.7,2021-06-26 05:47,0
2021-07-06 14:08:52,32.4,35.4,32.7,2021-06-26 06:02,0
2021-07-06 13:08:52,32.5,35.5,32.8,2021-06-26 06:17,0
2021-07-06 12:08:52,32.5,35.6,32.8,2021-06-26 06:32,0
2021-07-06 11:08:52,32.8,35.7,33,2021-06-26 06:47,0
2021-07-06 10:08:52,32.7,35.7,33.1,2021-06-26 07:02,0
2021-07-06 09:08:52,32.7,35.8,33.1,2021-06-26 07:18,0
