Datum1 sensor1 Datum2 sensor2 YYYYMMDD precipitation
2021-07-25 9,8    
2021-07-25 10    
2021-07-25 10,6    
2021-07-25 11,6    
2021-07-25 12,6    
2021-07-25 13,3    
2021-07-25 13,9    
2021-07-25 14,3    
2021-07-25 14,7    
2021-07-25 14,9    
2021-07-25 15,2    
2021-07-25 15,4    
2021-07-25 15,7    
2021-07-25 16    
2021-07-25 16,3    
2021-07-25 16,5    
2021-07-25 16,7    
2021-07-25 16,9    
2021-07-25 17    
2021-07-25 17,1    
2021-07-25 17,1    
2021-07-26 17,1    
2021-07-26 17    
2021-07-26 17    
2021-07-26 16,9    
2021-07-26 16,7    
2021-07-26 16,6    
2021-07-26 16,4    
2021-07-26 16,2    
2021-07-26 16    
2021-07-26 15,8    
2021-07-26 15,6    
2021-07-26 15,4    
2021-07-26 15,2    
2021-07-26 15,1    
2021-07-26 15    
2021-07-26 15    
2021-07-26 15    
2021-07-26 15    
2021-07-26 15,1    
2021-07-26 15,1    
2021-07-26 15,2    
2021-07-26 15,2    
2021-07-26 15,2    
2021-07-26 15    
2021-07-27 14,9    
2021-07-27 14,8    
2021-07-27 14,6    
2021-07-27 14,5    
2021-07-27 14,3    
2021-07-27 14,1    
2021-07-27 14    
2021-07-27 13,8    
2021-07-27 13,7    
2021-07-27 13,6    
2021-07-27 13,5    
2021-07-27 13,3    
2021-07-27 13,2    
2021-07-27 13    
2021-07-27 12,9    
2021-07-27 12,8    
2021-07-27 12,9    
2021-07-27 12,9    
2021-07-27 12,9    
2021-07-27 12,9    
2021-07-27 13    
2021-07-27 13    
2021-07-27 13    
2021-07-27 13    
2021-07-28 13,1    
2021-07-28 13,1    
2021-07-28 13    
2021-07-28 13    
2021-07-28 13    
2021-07-28 12,9    
2021-07-28 12,8    
2021-07-28 12,7    
2021-07-28 12,6    
2021-07-28 12,5    
2021-07-28 12,4    
2021-07-28 12,3    
2021-07-28 12,2    
2021-07-28 12,1    
2021-07-28 12,1    
2021-07-28 12,1    
2021-07-28 12,1    
2021-07-28 12    
2021-07-28 12,1    
2021-07-28 12,2    
2021-07-28 12,2    
2021-07-28 12,2    
2021-07-28 12,2    
2021-07-28 12,2    
2021-07-29 12,2    
2021-07-29 12,2    
2021-07-29 12,1    
2021-07-29 12,1    
2021-07-29 12    
2021-07-29 11,9    
2021-07-29 11,8    
2021-07-29 11,8    
2021-07-29 11,7    
2021-07-29 11,6    
2021-07-29 11,6    
2021-07-29 11,5    
2021-07-29 11,3    
2021-07-29 11,3    
2021-07-29 11,2    
2021-07-29 11,2    
2021-07-29 11,1    
2021-07-29 11,1    
2021-07-29 11,1    
2021-07-29 11,1    
2021-07-29 11,2    
2021-07-29 11,2    
2021-07-29 11,2    
2021-07-29 11,2    
2021-07-30 11,2    
2021-07-30 11,2    
2021-07-30 11,1    
2021-07-30 11,1    
2021-07-30 11    
2021-07-30 10,9    
2021-07-30 10,8    
2021-07-30 10,8    
2021-07-30 10,7    
2021-07-30 10,6    
2021-07-30 10,6    
2021-07-30 10,5    
2021-07-30 10,4    
2021-07-30 10,4    
2021-07-30 10,4    
2021-07-30 10,4    
2021-07-30 10,4    
2021-07-30 10,4    
2021-07-30 10,5    
2021-07-30 10,5    
2021-07-30 10,6    
2021-07-30 10,7    
2021-07-30 10,8    
2021-07-30 10,9    
2021-07-31 10,9    
2021-07-31 11    
2021-07-31 11    
2021-07-31 11    
2021-07-31 10,9    
2021-07-31 10,9    
2021-07-31 10,9    
2021-07-31 10,9    
2021-07-31 10,8    
2021-07-31 10,8    
2021-07-31 10,8    
2021-07-31 10,8    
2021-07-31 10,8    
2021-07-31 10,9    
2021-07-31 10,9    
2021-07-31 11    
2021-07-31 11,2    
2021-07-31 11,3    
2021-07-31 11,5    
2021-07-31 11,6    
2021-07-31 11,8    
2021-07-31 11,9    
2021-07-31 12    
2021-07-31 12    
2021-08-01 12,1    
2021-08-01 12    
2021-08-01 12    
2021-08-01 12    
2021-08-01 11,9    
2021-08-01 11,9    
2021-08-01 11,8    
2021-08-01 11,8    
2021-08-01 11,7    
2021-08-01 11,6    
2021-08-01 11,6    
2021-08-01 11,6    
2021-08-01 11,6    
2021-08-01 11,7    
2021-08-01 11,8    
2021-08-01 11,9    
2021-08-01 12    
2021-08-01 12,3    
2021-08-01 12,9    
2021-08-01 13    
2021-08-01 12,6    
2021-08-01 13,1    
2021-08-01 13    
2021-08-01 13,2    
2021-08-02 12,8    
2021-08-02 12,6    
2021-08-02 12,5    
2021-08-02 12,3    
2021-08-02 12,2    
2021-08-02 12,2    
2021-08-02 12    
2021-08-02 11,9    
2021-08-02 11,8    
2021-08-02 11,7    
2021-08-02 11,6    
2021-08-02 11,4    
2021-08-02 11,3    
2021-08-02 11,3    
2021-08-02 11,2    
2021-08-02 11,2    
2021-08-02 11,2    
2021-08-02 11,2    
2021-08-02 11,2    
2021-08-02 11,3    
2021-08-02 11,3    
2021-08-02 11,4    
2021-08-02 11,4    
2021-08-02 11,4    
2021-08-03 11,4    
2021-08-03 11,3    
2021-08-03 11,3    
2021-08-03 11,2    
2021-08-03 11,1    
2021-08-03 11    
2021-08-03 10,9    
2021-08-03 10,9    
2021-08-03 10,7    
2021-08-03 10,7    
2021-08-03 10,6    
2021-08-03 10,5    
2021-08-03 10,4    
2021-08-03 10,4    
2021-08-03 10,4    
2021-08-03 10,4    
2021-08-03 10,4    
2021-08-03 10,4    
2021-08-03 10,5    
2021-08-03 10,5    
2021-08-03 10,5    
2021-08-03 10,6    
2021-08-03 10,8    
2021-08-03 10,7    
2021-08-04 10,7    
2021-08-04 10,7    
2021-08-04 10,7    
2021-08-04 10,6    
2021-08-04 10,6    
2021-08-04 10,6    
2021-08-04 10,5    
2021-08-04 10,7    
2021-08-04 10,4    
2021-08-04 10,3    
2021-08-04 10,2    
2021-08-04 10,2    
2021-08-04 9,9    
2021-08-04 9,8    
2021-08-04 10,2    
2021-08-04 9,7    
2021-08-04 9,7    
2021-08-04 9,8    
2021-08-04 10,3    
2021-08-04 9,7    
2021-08-04 9,6    
2021-08-04 9,7    
2021-08-04 9,7    
2021-08-04 10,3    
2021-08-05 9,9    
2021-08-05 10,1    
2021-08-05 10,3    
2021-08-05 10,3    
2021-08-05 10,5    
2021-08-05 10,4    
2021-08-05 10,5    
2021-08-05 10,6    
2021-08-05 10,6    
2021-08-05 10,8    
2021-08-05 11    
2021-08-05 10,7    
2021-08-05 10,3    
2021-08-05 10,6    
2021-08-05 10,6    
2021-08-05 10,6    
2021-08-05 10,4    
2021-08-05 10,3    
2021-08-05 10,5    
2021-08-05 10,6    
2021-08-05 10,7    
2021-08-05 10,8    
2021-08-05 10,8    
2021-08-05 11,4    
2021-08-06 11,5    
2021-08-06 11,1    
2021-08-06 10,9    
2021-08-06 10,9    
2021-08-06 10,9    
2021-08-06 10,8    
2021-08-06 10,8    
2021-08-06 10,8    
2021-08-06 10,7    
2021-08-06 10,7    
2021-08-06 10,7    
2021-08-06 10,7    
2021-08-06 10,7    
2021-08-06 10,7    
2021-08-06 10,8    
2021-08-06 10,9    
2021-08-06 11,1    
2021-08-06 11,3    
2021-08-06 11,5    
2021-08-06 11,5    
2021-08-06 12,1    
2021-08-06 12,1    
2021-08-06 12,2    
2021-08-07 12,2    
2021-08-07 12,2    
2021-08-07 12,2    
2021-08-07 12,3    
2021-08-07 12,2    
2021-08-07 12,2    
2021-08-07 12,2    
2021-08-07 12,2    
2021-08-07 12,2    
2021-08-07 12,1    
2021-08-07 12    
2021-08-07 12    
2021-08-07 11,9    
